Country,Region,Life,Pop
Slovenia,Europe,80.27804878,2059953
Sweden,Europe,81.70487805,9600379
Swaziland,Africa,48.93792683,1250641
Seychelles,Africa,74.22682927,89900
Syrian Arab Republic,Africa,74.71578049,21789415
Chad,Africa,51.15907317,13145788
Togo,Africa,56.4885122,6928719
Thailand,Asia,74.36507317,67451422
Tajikistan,Europe,67.37460976,8111894
Turkmenistan,Europe,65.46258537,5240088
Timor-Leste,Asia,67.52236585,1180069
Tonga,Asia,72.64231707,105139
Trinidad and Tobago,America,69.92521951,1348240
Tunisia,Africa,73.64634146,10886500
Turkey,Europe,75.17595122,75010202
Tanzania,Africa,61.49314634,50213457
Uganda,Africa,59.19,36573387
Ukraine,Europe,71.1595122,45489600
Uruguay,America,77.05141463,3407969
United States,America,78.84146341,316497531
Uzbekistan,Europe,68.22758537,30243200
St. Vincent and the Grenadines,America,72.50097561,109327
"Venezuela, RB",America,74.64309756,30276045
Virgin Islands (U.S.),America,79.62439024,104737
Vietnam,Asia,75.7564878,89708900
Vanuatu,Asia,71.68682927,253165
West Bank and Gaza,Africa,73.20334146,4169506
Samoa,Asia,73.26487805,190390
"Yemen, Rep.",Africa,63.08958537,25533217
South Africa,Africa,56.73658537,53157490
"Congo, Dem. Rep.",Africa,49.94385366,72552861
Zambia,Africa,58.09278049,15246086
Zimbabwe,Africa,59.7734878,14898092
